,dateTime,activity,userID,strapType,WristLocation
0,210106_183329_003602_adel0106_WHOOP_3A184004,runningTreadmill0,adel0106,Control,forearm
1,210106_183319_003606_adel0106_WHOOP_3A184038,runningTreadmill0,adel0106,Control,wrist
2,210106_183407_003524_adel0106_WHOOP_4AA000575,runningTreadmill0,adel0106,Test,wrist
3,210106_183359_003526_adel0106_WHOOP_4AAB00036,runningTreadmill0,adel0106,Test,forearm
4,210106_230644_003810_aerl0106_WHOOP_3A184004,runningTreadmill0,aerl0106,Control,forearm
5,210106_230641_003803_aerl0106_WHOOP_3A184038,runningTreadmill0,aerl0106,Control,wrist
6,210106_230644_003810_aerl0106_WHOOP_4AA000575,runningTreadmill0,aerl0106,Test,wrist
7,210106_230641_003803_aerl0106_WHOOP_4AAB00036,runningTreadmill0,aerl0106,Test,forearm
8,210108_140624_003454_afra0108_WHOOP_3A184151,runningTreadmill0,afra0108,Control,wrist
9,210108_140620_003458_afra0108_WHOOP_4AA000385,runningTreadmill0,afra0108,Test,forearm
10,210107_174027_003705_akec0107_WHOOP_3A153728,runningTreadmill0,akec0107,Control,wrist
11,210107_174032_003656_akec0107_WHOOP_3A337990,runningTreadmill0,akec0107,Control,forearm
12,210107_174058_003630_akec0107_WHOOP_4AA000517,runningTreadmill0,akec0107,Test,wrist
13,210107_174051_003641_akec0107_WHOOP_4AAB00037,runningTreadmill0,akec0107,Test,forearm
14,210108_202000_004044_amae0108_WHOOP_3A153728,runningTreadmill0,amae0108,Control,wrist
15,210108_201959_004044_amae0108_WHOOP_3A184151,runningTreadmill0,amae0108,Control,forearm
16,210108_202000_005941_amae0108_WHOOP_4AA000519,runningTreadmill0,amae0108,Test,forearm
17,210108_201753_000036_amae0108_WHOOP_4AA000784,runningTreadmill0,amae0108,Test,wrist
18,210108_201959_005943_amae0108_WHOOP_4AA000784,runningTreadmill1,amae0108,Test,wrist
19,210105_203452_003431_asol0105_WHOOP_3A184104,runningTreadmill0,asol0105,Control,forearm
20,210105_203453_003446_asol0105_WHOOP_3A184151,runningTreadmill0,asol0105,Control,forearm
21,210105_203450_003508_asol0105_WHOOP_4AA000423,runningTreadmill0,asol0105,Test,wrist
22,210105_203449_003526_asol0105_WHOOP_4AA000794,runningTreadmill0,asol0105,Test,wrist
23,210105_161041_003529_awri01051_WHOOP_3A153728,runningTreadmill0,awri01051,Control,forearm
24,210105_161036_003538_awri01051_WHOOP_3A337990,runningTreadmill0,awri01051,Control,wrist
25,210105_161041_000629_awri01051_WHOOP_4AA000423,runningTreadmill0,awri01051,Test,wrist
26,210105_161036_003538_awri01051_WHOOP_4AAB00036,runningTreadmill0,awri01051,Test,forearm
27,210106_200513_003506_bpee0106_WHOOP_3A184033,runningTreadmill0,bpee0106,Control,forearm
28,210106_200507_003516_bpee0106_WHOOP_3A184071,runningTreadmill0,bpee0106,Control,wrist
29,210106_200543_003436_bpee0106_WHOOP_4AA000401,runningTreadmill0,bpee0106,Test,wrist
30,210106_200538_003445_bpee0106_WHOOP_4AAB00037,runningTreadmill0,bpee0106,Test,forearm
31,210106_231013_004632_btom0106_WHOOP_4AA000702,runningTreadmill0,btom0106,Test,forearm
32,210107_190004_004223_btom0106_WHOOP_3A184033,runningTreadmill0,btom0106,Control,forearm
33,210108_160328_003724_cbag0108_WHOOP_3A153728,runningTreadmill0,cbag0108,Control,forearm
34,210108_160317_003734_cbag0108_WHOOP_4AA000385,runningTreadmill0,cbag0108,Test,forearm
35,210108_160325_003727_cbag0108_WHOOP_4AA000388,runningTreadmill0,cbag0108,Test,wrist
36,210105_181540_003648_cobr0105_WHOOP_3A153728,runningTreadmill0,cobr0105,Control,forearm
37,210105_190558_003508_cobr0105_WHOOP_3A337990,runningTreadmill0,cobr0105,Control,wrist
38,210105_190557_003509_cobr0105_WHOOP_4AA000545,runningTreadmill0,cobr0105,Test,forearm
39,210105_181536_003652_cobr0105_WHOOP_4AAB00036,runningTreadmill0,cobr0105,Test,wrist
40,210107_220405_003457_csim0107_WHOOP_3A184104,runningTreadmill0,csim0107,Control,forearm
41,210107_220402_003512_csim0107_WHOOP_4AA000388,runningTreadmill0,csim0107,Test,forearm
42,210107_220434_003428_csim0107_WHOOP_4AA000874,runningTreadmill0,csim0107,Test,wrist
43,210108_211400_003808_cwor0108_WHOOP_3A184004,runningTreadmill0,cwor0108,Control,wrist
44,210108_211409_003759_cwor0108_WHOOP_3A184071,runningTreadmill0,cwor0108,Control,forearm
45,210108_211404_003804_cwor0108_WHOOP_4AA000384,runningTreadmill0,cwor0108,Test,wrist
46,210108_211429_003739_cwor0108_WHOOP_4AA000441,runningTreadmill0,cwor0108,Test,forearm
47,210105_174943_003748_dadl0105_WHOOP_3A184104,runningTreadmill0,dadl0105,Control,forearm
48,210105_174944_003716_dadl0105_WHOOP_3A184151,runningTreadmill0,dadl0105,Control,wrist
49,210105_174942_003718_dadl0105_WHOOP_4AA000423,runningTreadmill0,dadl0105,Test,forearm
50,210105_174940_003751_dadl0105_WHOOP_4AA000794,runningTreadmill0,dadl0105,Test,wrist
51,210107_161620_003514_deps0107_WHOOP_3A153728,runningTreadmill0,deps0107,Control,wrist
52,210107_161621_003511_deps0107_WHOOP_3A337990,runningTreadmill0,deps0107,Control,forearm
53,210107_161621_003511_deps0107_WHOOP_4AA000517,runningTreadmill0,deps0107,Test,wrist
54,210107_161620_003515_deps0107_WHOOP_4AAB00037,runningTreadmill0,deps0107,Test,forearm
55,210108_230826_003618_dgre0108_WHOOP_3A184038,runningTreadmill0,dgre0108,Control,wrist
56,210108_230833_003609_dgre0108_WHOOP_3A184071,runningTreadmill0,dgre0108,Control,forearm
57,210108_230908_003534_dgre0108_WHOOP_4AA000384,runningTreadmill0,dgre0108,Test,wrist
58,210108_230829_003615_dgre0108_WHOOP_4AA000519,runningTreadmill0,dgre0108,Test,forearm
59,210106_173747_003741_dtru0106_WHOOP_3A184004,runningTreadmill0,dtru0106,Control,forearm
60,210106_173825_003706_dtru0106_WHOOP_3A184038,runningTreadmill0,dtru0106,Control,wrist
61,210106_173820_003708_dtru0106_WHOOP_4AA000575,runningTreadmill0,dtru0106,Test,wrist
62,210106_173827_003704_dtru0106_WHOOP_4AAB00036,runningTreadmill0,dtru0106,Test,forearm
63,210106_160701_003854_ecer0106_WHOOP_3A184033,runningTreadmill0,ecer0106,Control,forearm
64,210106_160709_003722_ecer0106_WHOOP_3A184071,runningTreadmill0,ecer0106,Control,wrist
65,210106_160701_003854_ecer0106_WHOOP_4AA000401,runningTreadmill0,ecer0106,Test,wrist
